Year,Location,Opioid Overdose Death Rate Age Adjusted,All Drug Overdose Death Rate Age Adjusted
2016,United States,13.3,19.8
2016,Alabama,7.5,16.2
2016,Alaska,12.5,16.8
2016,Arizona,11.4,20.3
2016,Arkansas,5.9,14
2016,California,4.9,11.2
2016,Colorado,9.5,16.6
2016,Connecticut,24.5,27.4
2016,Delaware,16.9,30.8
2016,District of Columbia,30,38.8
2016,Florida,14.4,23.7
2016,Georgia,8.8,13.3
2016,Hawaii,5.2,12.8
2016,Idaho,7.4,15.2
2016,Illinois,15.3,18.9
2016,Indiana,12.6,24
2016,Iowa,6.2,10.6
2016,Kansas,5.1,11.1
2016,Kentucky,23.6,33.5
2016,Louisiana,7.7,21.8
2016,Maine,25.2,28.7
2016,Maryland,29.7,33.2
2016,Massachusetts,29.7,33
2016,Michigan,18.5,24.4
2016,Minnesota,7.4,12.5
2016,Mississippi,6.2,12.1
2016,Missouri,15.9,23.6
2016,Montana,4.2,11.7
2016,Nebraska,2.4,6.4
2016,Nevada,13.3,21.7
2016,New Hampshire,35.8,39
2016,New Jersey,16,23.2
2016,New Mexico,17.5,25.2
2016,New York,15.1,18
2016,North Carolina,15.4,19.7
2016,North Dakota,7.6,10.6
2016,Ohio,32.9,39.1
2016,Oklahoma,11.6,21.5
2016,Oregon,7.6,11.9
2016,Pennsylvania,18.5,37.9
2016,Rhode Island,26.7,30.8
2016,South Carolina,13.1,18.1
2016,South Dakota,5,8.4
2016,Tennessee,18.1,24.5
2016,Texas,4.9,10.1
2016,Utah,16.4,22.4
2016,Vermont,18.4,22.2
2016,Virginia,13.5,16.7
2016,Washington,9.4,14.5
2016,West Virginia,43.4,52
2016,Wisconsin,15.8,19.3
2016,Wyoming,8.7,17.6
