Year,Location,Opioid Overdose Death Rate Age Adjusted,All Drug Overdose Death Rate Age Adjusted
2015,United States,10.4,16.3
2015,Alabama,6.1,15.7
2015,Alaska,11,16
2015,Arizona,10.2,19
2015,Arkansas,7.2,13.8
2015,California,4.9,11.3
2015,Colorado,8.7,15.4
2015,Connecticut,19.2,22.1
2015,Delaware,14.8,22
2015,District of Columbia,14.5,18.6
2015,Florida,9.4,16.2
2015,Georgia,8.4,12.7
2015,Hawaii,4.1,11.3
2015,Idaho,6,14.2
2015,Illinois,10.7,14.1
2015,Indiana,8.5,19.5
2015,Iowa,5.8,10.3
2015,Kansas,5.4,11.8
2015,Kentucky,21,29.9
2015,Louisiana,6.3,19
2015,Maine,19.3,21.2
2015,Maryland,17.7,20.9
2015,Massachusetts,23.3,25.7
2015,Michigan,13.6,20.4
2015,Minnesota,6.2,10.6
2015,Mississippi,5.3,12.3
2015,Missouri,11.7,17.9
2015,Montana,5,13.8
2015,Nebraska,3.1,6.9
2015,Nevada,13.8,20.4
2015,New Hampshire,31.3,34.3
2015,New Jersey,9.8,16.3
2015,New Mexico,17.9,25.3
2015,New York,10.8,13.6
2015,North Carolina,11.9,15.8
2015,North Dakota,4.8,8.6
2015,Ohio,24.7,29.9
2015,Oklahoma,11.2,19
2015,Oregon,7.9,12
2015,Pennsylvania,11.2,26.3
2015,Rhode Island,23.5,28.2
2015,South Carolina,11.4,15.7
2015,South Dakota,3.5,8.4
2015,Tennessee,16,22.2
2015,Texas,4.7,9.4
2015,Utah,15.9,23.4
2015,Vermont,13.4,16.7
2015,Virginia,9.9,12.4
2015,Washington,9.3,14.7
2015,West Virginia,36,41.5
2015,Wisconsin,11.2,15.5
2015,Wyoming,7.9,16.4
